        0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  21  23  24  25
---------------------------------------------------------------------------------------------------------------
0   |   0	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	2	-1	-1	3	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	5	
1   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
3   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
4   |   8	-1	-1	-1	-1	9	-1	-1	10	-1	-1	11	-1	-1	12	-1	-1	13	-1	-1	14	-1	-1	-1	-1	15	
5   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
6   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
7   |   16	-1	17	-1	-1	18	-1	-1	19	-1	-1	20	-1	-1	21	-1	-1	22	-1	-1	23	-1	-1	24	-1	25	
8   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
9   |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
10  |   26	-1	27	-1	-1	28	-1	-1	29	-1	-1	30	31	32	33	-1	-1	34	-1	-1	35	-1	-1	36	-1	37	
11  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13  |   38	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	41	
14  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16  |   42	-1	43	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	46	-1	47	
17  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19  |   48	-1	49	-1	-1	50	-1	-1	51	-1	-1	52	-1	-1	53	-1	-1	54	-1	-1	55	-1	-1	56	-1	57	
20  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22  |   58	-1	59	-1	-1	60	-1	-1	61	-1	-1	62	-1	-1	63	-1	-1	64	-1	-1	65	-1	-1	66	-1	67	
23  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25  |   68	-1	69	-1	-1	70	-1	-1	71	-1	-1	72	-1	-1	73	-1	-1	74	-1	-1	75	-1	-1	76	-1	77	
26  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27  |   -1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28  |   78	-1	-1	-1	-1	79	-1	-1	-1	-1	-1	80	-1	-1	81	-1	-1	-1	-1	-1	82	-1	-1	-1	-1	83	

